,Title,Available Globally?,Release Date,Hours Viewed
1508,Confessions of an Invisible Girl // Confisses de uma Garota Excluda,Yes,2021-09-22,5.700.000
1509,Eli,Yes,2019-10-18,5.700.000
1510,Fear City: New York vs The Mafia: Limited Series,Yes,2020-07-22,5.700.000
1511,Headspace: Unwind Your Mind,Yes,2021-06-15,5.700.000
1512,Ivy + Bean,Yes,2022-09-02,5.700.000
1513,Love & Gelato,Yes,2022-06-22,5.700.000
1514,Marcella: Season 2,Yes,2018-06-08,5.700.000
1515,Memories of the Alhambra: Season 1 // ____ ___ __: __ 1,Yes,2018-12-01,5.700.000
1516,Mumbai Mafia: Police vs The Underworld,Yes,2023-01-06,5.700.000
1517,Nicky Jam: El Ganador: Season 1,Yes,2018-11-30,5.700.000
1518,Rebecca,Yes,2020-10-21,5.700.000
1519,Selling Sunset: Season 3,Yes,2020-08-07,5.700.000
1520,She-Ra and the Princesses of Power: Season 1,Yes,2018-11-13,5.700.000
1521,The End of the F***ing World: Season 2,Yes,2019-11-05,5.700.000
1522,Age of Samurai: Battle for Japan: Limited Series,Yes,2021-02-24,5.600.000
1523,Bling Empire: Season 3,Yes,2022-10-05,5.600.000
1524,Colin in Black & White: Limited Series,Yes,2021-10-29,5.600.000
1525,Edgar Rice Burroughs' Tarzan and Jane: Season 1,Yes,2017-01-06,5.600.000
1526,Fierce // Jak zosta_ gwiazd_,Yes,2020-12-02,5.600.000
1527,How to Sell Drugs Online (Fast): Season 1,Yes,2019-05-31,5.600.000
1528,Lovestruck in the City: Season 1 // _____ ___: __ 1,Yes,2020-12-22,5.600.000
1529,Midnight at the Pera Palace: Season 1 // Pera Palas'ta Gece Yarõsõ: 1. Sezon,Yes,2022-03-03,5.600.000
1530,Navillera: Season 1 // ____: __ 1,Yes,2021-03-22,5.600.000
1531,Sintonia: Season 1,Yes,2019-08-09,5.600.000
1532,Skylanders Academy: Season 1,Yes,2016-10-28,5.600.000
1533,Super Monsters: Season 3,Yes,2019-10-04,5.600.000
1534,The Privilege // Das Privileg Ð Die Auserwhlten,Yes,2022-02-09,5.600.000
1535,The Way of the Househusband: Season 2 // ____: ____2,Yes,2023-01-01,5.600.000
1536,Wakfu: Season 1,Yes,2014-09-12,5.600.000
1537,Word Party: Season 2,Yes,2016-10-21,5.600.000
1538,Word Party: Season 3,Yes,2017-10-06,5.600.000
1539,Agent Elvis: Season 1,Yes,2023-03-17,5.500.000
1540,All The Bright Places,Yes,2020-02-28,5.500.000
1541,Beasts of No Nation,Yes,2015-10-16,5.500.000
1542,BLOCKBUSTER: Season 1,Yes,2022-11-03,5.500.000
1543,Blue Miracle,Yes,2021-05-27,5.500.000
1544,Feria: The Darkest Light: Season 1 // Feria: La luz ms oscura: Season 1,Yes,2022-01-28,5.500.000
1545,Freaks Ð You're One of Us // Freaks Ð Du bist eine von uns,Yes,2020-09-02,5.500.000
1546,Frontier: Season 3,Yes,2018-11-23,5.500.000
1547,High Seas: Season 1 // Alta mar: Temporada 1,Yes,2019-05-24,5.500.000
1548,High-Rise Invasion: Season 1 // ____: ____1,Yes,2021-02-25,5.500.000
1549,Hillbilly Elegy,Yes,2020-11-24,5.500.000
1550,Johnny Test: Season 2,Yes,2022-01-07,5.500.000
1551,Prey,Yes,2021-09-10,5.500.000
1552,Snabba Cash: Season 2,Yes,2022-09-22,5.500.000
1553,T-Rex Ranch: Rise of the Dinomaster,Yes,,5.500.000
1554,Ultraman: Season 1,Yes,2019-04-01,5.500.000
1555,A Second Chance:  Rivals!,Yes,2021-07-23,5.400.000
1556,Animal: Season 1,Yes,2021-11-10,5.400.000
1557,Back to 15: Season 1 // De Volta aos 15: Temporada 1,Yes,2022-02-25,5.400.000
1558,D.B. Cooper: Where Are You?!: Limited Series,Yes,2022-07-13,5.400.000
1559,Fast & Furious Spy Racers: Season 6: Homecoming,Yes,2021-12-17,5.400.000
1560,Girl from Nowhere: Season 2 // ________: ______ 2,Yes,2021-05-07,5.400.000
1561,Justice Served: Season 1,Yes,2022-07-29,5.400.000
1562,Puss in Book: Trapped in an Epic Tale,Yes,2017-05-16,5.400.000
1563,Tattoo Redo: Season 1,Yes,2021-07-28,5.400.000
1564,Terrorism Close Calls: Season 1,Yes,2018-10-26,5.400.000
1565,The Club: Season 1 // El club: Temporada 1,Yes,2019-11-15,5.400.000
1566,Trailer Park Boys: Season 1,Yes,2010-09-22,5.400.000
1567,Trolls: The Beat Goes On!: Season 1,Yes,2018-01-19,5.400.000
1568,As the Crow Flies: Season 1 // Ku_ Uu_u: 1. Sezon,Yes,2022-06-03,5.300.000
1569,Castlevania: Season 4,Yes,2021-05-13,5.300.000
1570,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Yes,2016-02-26,5.300.000
1571,Holiday in the Wild,Yes,2019-11-01,5.300.000
1572,Honeymoon with My Mother // Amor de madre,Yes,2022-04-29,5.300.000
1573,In for a Murder // W jak morderstwo,Yes,2021-10-19,5.300.000
1574,Post Mortem: No One Dies in Skarnes: Season 1 // Post Mortem: Ingen d¿r p Skarnes: Sesong 1,Yes,2021-08-25,5.300.000
1575,Robocar Poli: Season 1,Yes,,5.300.000
1576,Robocar POLI Safety Series // _____ _____,Yes,,5.300.000
1577,Rock My Heart,Yes,2019-01-17,5.300.000
1578,Rurouni Kenshin: The Final // ______ ___ The Final,Yes,2021-06-18,5.300.000
1579,Sintonia: Season 2,Yes,2021-10-27,5.300.000
1580,Spycraft: Season 1,Yes,2021-01-20,5.300.000
1581,The Package,Yes,2018-08-10,5.300.000
1582,True Story: Limited Series,Yes,2021-11-24,5.300.000
1583,Unbreakable Kimmy Schmidt: Season 1,Yes,2015-03-06,5.300.000
1584,Under Her Control // La jefa,Yes,2022-08-31,5.300.000
1585,A Little Thing Called First Love: Season 1 // ______: _ 1 _ // ______: _ 1 _,Yes,,5.200.000
1586,Alkhallat+ // _______+,Yes,2023-01-19,5.200.000
1587,Best of Stand-Up 2022,Yes,2022-12-31,5.200.000
1588,Caliphate: Season 1 // Kalifat: Ssong 1,Yes,2020-03-18,5.200.000
1589,Car Masters: Rust to Riches: Season 2,Yes,2020-03-27,5.200.000
1590,Derry Girls: Season 2,Yes,2019-08-02,5.200.000
1591,Farzar: Season 1,Yes,2022-07-15,5.200.000
1592,Kim's Convenience: Season 2,Yes,,5.200.000
1593,Lust Stories 2 // ____ ________ 2,Yes,2023-06-29,5.200.000
1594,Monarca: Season 2,Yes,2021-01-01,5.200.000
1595,Moxie,Yes,2021-03-03,5.200.000
1596,Russian Doll: Season 1,Yes,2019-02-01,5.200.000
1597,Rust Valley Restorers: Season 2,Yes,2020-05-08,5.200.000
1598,Secret City,Yes,2018-06-26,5.200.000
1599,Selena: The Series: Part 2,Yes,2021-05-04,5.200.000
1600,Seoul Vibe // _____,Yes,2022-08-26,5.200.000
1601,She: Season 1,Yes,2020-03-20,5.200.000
1602,She: Season 2,Yes,2022-06-17,5.200.000
1603,The Whole Truth // ____________,Yes,2021-12-02,5.200.000
1604,Trainwreck: Woodstock '99,Yes,2022-08-03,5.200.000
1605,Black Dog // ___,Yes,,5.100.000
1606,Drifting Home // _________,Yes,2022-09-16,5.100.000
1607,First and Last: Season 1,Yes,2018-09-07,5.100.000
1608,Ghislaine Maxwell: Filthy Rich,Yes,2022-11-25,5.100.000
1609,Glitch Techs: Season 2,Yes,2020-08-17,5.100.000
1610,Glitter: Season 1 // Brokat: Sezon 1,Yes,2022-12-14,5.100.000
1611,Heart Parade // Parada serc,Yes,2022-06-15,5.100.000
1612,Heist: Season 1,Yes,2021-07-14,5.100.000
1613,How to Become a Tyrant: Limited Series,Yes,2021-07-09,5.100.000
1614,Inspector Koo: Season 1 // ___: __ 1,Yes,2021-10-30,5.100.000
1615,Jailbirds: Season 1,Yes,2019-05-10,5.100.000
1616,"Love, Guaranteed",Yes,2020-09-03,5.100.000
1617,MAKE MY DAY: Season 1,Yes,2023-02-02,5.100.000
1618,Mismatched: Season 2 // ________: ____ 2,Yes,2022-10-14,5.100.000
1619,My Little Pony: Tell Your Tale: Season 1,Yes,,5.100.000
1620,Nailed It!: Season 7,Yes,2022-10-05,5.100.000
1621,Neymar: The Perfect Chaos: Limited Series // Neymar: O Caos Perfeito: Minissrie,Yes,2022-01-25,5.100.000
1622,Octonauts & the Caves of Sac Actun,Yes,2020-08-14,5.100.000
1623,Samurai Rabbit: The Usagi Chronicles: Season 1,Yes,2022-04-28,5.100.000
1624,Sugar Rush: Extra Sweet,Yes,2020-07-31,5.100.000
1625,The Dragon Prince: Season 1,Yes,2018-09-14,5.100.000
1626,The Epic Tales of Captain Underpants in Space: Season 1,Yes,2020-07-10,5.100.000
1627,The New Legends of Monkey: Season 2,Yes,2020-08-07,5.100.000
1628,The Parisian Agency: Exclusive Properties: Season 2 // L'Agence : L'immobilier de luxe en famille: SaisonÊ2,Yes,2022-03-03,5.100.000
1629,The Spy: Limited Series,Yes,2019-09-06,5.100.000
1630,The White Tiger,Yes,2021-01-22,5.100.000
1631,Undercover: Season 3,Yes,2021-11-21,5.100.000
1632,Win the Wilderness: Season 1,Yes,2020-04-22,5.100.000
1633,Ashley Garcia: Genius in Love: Part 1,Yes,2020-02-17,5.000.000
1634,Badanamu Pop: Season 1,Yes,,5.000.000
1635,"Borgen - Power & Glory: Season 1 // Borgen Ð Riget, Magten og ®ren: S¾son 1",Yes,2022-04-14,5.000.000
1636,Cable Girls: Season 4 // Las chicas del cable: Temporada 4,Yes,2019-08-09,5.000.000
1637,Capitani: Season 2,Yes,2022-07-08,5.000.000
1638,Dogs of Berlin: Season 1,Yes,2018-12-07,5.000.000
1639,F is for Family: Season 5,Yes,2021-11-25,5.000.000
1640,Glow Up: Season 1,Yes,2019-12-06,5.000.000
1641,Go! Go! Cory Carson: Season 5,Yes,2021-08-17,5.000.000
1642,Ivy + Bean: The Ghost That Had to Go,Yes,2022-09-02,5.000.000
1643,Marcella: Season 3,Yes,2020-06-14,5.000.000
1644,Men on a Mission: 2023 // __ __: 2023,Yes,,5.000.000
1645,Miss Americana,Yes,2020-01-31,5.000.000
1646,My Unorthodox Life: Season 1,Yes,2021-07-14,5.000.000
1647,Racket Boys: Season 1 // _____: __ 1,Yes,2021-05-31,5.000.000
1648,Scrooge: A Christmas Carol,Yes,2022-12-02,5.000.000
1649,StoryBots: Answer Time: Season 1,Yes,2022-11-21,5.000.000
1650,The Brave Ones: Season 1,Yes,2022-09-16,5.000.000
1651,The Cloverfield Paradox,Yes,2018-02-04,5.000.000
1652,The Last Kids on Earth: Book 1,Yes,2019-09-17,5.000.000
1653,The Parisian Agency: Exclusive Properties: Season 1 // L'Agence : L'immobilier de luxe en famille: SaisonÊ1,Yes,2021-06-23,5.000.000
1654,When We First Met,Yes,2018-02-09,5.000.000
1655,Yakamoz S-245: Season 1,Yes,2022-04-20,5.000.000
1656,"Ada Twist, Scientist: Season 4",Yes,2023-04-22,4.900.000
1657,An Inconvenient Love,Yes,,4.900.000
1658,Baby: Season 1,Yes,2018-11-30,4.900.000
1659,Blue Period: Season 1 // _______: ____1,Yes,2021-09-24,4.900.000
1660,Booba: Food Puzzle: Season 1,Yes,,4.900.000
1661,Bullsh*t The Gameshow: Season 1,Yes,2022-04-27,4.900.000
1662,Car Masters: Rust to Riches: Season 3,Yes,2021-08-04,4.900.000
1663,F is for Family: Season 1,Yes,2015-12-18,4.900.000
1664,Glow Up: Season 3,Yes,2021-07-30,4.900.000
1665,Go! Go! Cory Carson: Chrissy Takes the Wheel,Yes,2021-09-21,4.900.000
1666,Happy!: Season 1,Yes,2018-04-26,4.900.000
1667,Hollywood: Season 1,Yes,2020-05-01,4.900.000
1668,IRL - In Real Love: Season 1,Yes,2023-04-06,4.900.000
1669,Jeffrey Epstein: Filthy Rich: Limited Series,Yes,2020-05-27,4.900.000
1670,Love 101: Season 1 // A_k 101: 1. Sezon,Yes,2020-04-24,4.900.000
1671,Moo 2 // ____ 2,Yes,,4.900.000
1672,Slasher: Solstice,Yes,2019-05-23,4.900.000
1673,Squared Love // Mi_o__ doÊkwadratu,Yes,2021-02-11,4.900.000
1674,Street Food: USA: Limited Series,Yes,2022-07-26,4.900.000
1675,Summer Job: Season 1,Yes,2022-12-16,4.900.000
1676,Surviving Paradise: A Family Tale,Yes,2022-03-03,4.900.000
1677,Borgen: Season 2,Yes,,4.800.000
1678,Crime Scene: The Vanishing at the Cecil Hotel: Limited Series,Yes,2021-02-10,4.800.000
1679,Deadwind: Season 2 // Karppi: Kausi 2,Yes,2020-07-01,4.800.000
1680,Delhi Crime: Season 1 // ______ ______: ____ 1,Yes,2019-03-22,4.800.000
1681,Greenleaf: Season 4,Yes,2019-11-06,4.800.000
1682,"Hello, Goodbye, and Everything in Between",Yes,2022-07-06,4.800.000
1683,How I Became a Superhero // Comment je suis devenu super-hros,Yes,2021-07-09,4.800.000
1684,Into the Night: Season 2,Yes,2021-09-08,4.800.000
1685,Kakegurui xx // _____xx,Yes,2019-01-09,4.800.000
1686,Kim's Convenience: Season 3,Yes,,4.800.000
1687,Silverton Siege,Yes,2022-04-27,4.800.000
1688,SPRIGGAN: Season 1 // _____: ____1,Yes,2022-06-18,4.800.000
1689,The King's Avatar: Season 1 // ____: _ 1 _ // ____: _ 1 _,Yes,,4.800.000
1690,The Lost Pirate Kingdom: Limited Series,Yes,2021-03-15,4.800.000
1691,The Power of the Dog,Yes,2021-12-01,4.800.000
1692,The Staircase: Limited Series,Yes,2018-06-08,4.800.000
1693,Trailer Park Boys: Season 6,Yes,2011-03-01,4.800.000
1694,True: Magical Friends: Season 1,Yes,2018-06-15,4.800.000
1695,Wild Wild Country: Limited Series,Yes,2018-03-16,4.800.000
1696,Darlings // __________,Yes,2022-08-05,4.700.000
1697,Fenced In // Vizinhos,Yes,2022-09-01,4.700.000
1698,Friends from College: Season 2,Yes,2019-01-11,4.700.000
1699,La Rvolution: Season 1,Yes,2020-10-16,4.700.000
1700,Love is Blind: Japan: Season 1 // ___________ JAPAN: ____1,Yes,2022-02-08,4.700.000
1701,Making a Murderer: Part 2,Yes,2018-10-19,4.700.000
1702,Marianne: Season 1,Yes,2019-09-13,4.700.000
1703,Octonauts & the Great Barrier Reef,Yes,2020-10-13,4.700.000
1704,Oh My Baby: Season 1 // _ __ ___: __1,Yes,,4.700.000
1705,Pinky Malinky: Part 1,Yes,2019-01-01,4.700.000
1706,Ridley Jones: Season 1,Yes,2021-07-13,4.700.000
1707,Roman Empire: Julius Caesar: Master of Rome,Yes,2018-07-27,4.700.000
1708,Sunny Bunnies: Season 5,Yes,,4.700.000
1709,The Catholic School // La Scuola Cattolica,Yes,2022-09-14,4.700.000
1710,The Hollow: Season 2,Yes,2020-05-08,4.700.000
1711,The Last Czars: Limited Series,Yes,2019-07-03,4.700.000
1712,Too Hot to Handle: Brazil: Season 1 // Brincando com Fogo: Brasil: Temporada 1,Yes,2021-07-21,4.700.000
1713,Trolls: The Beat Goes On!: Season 2,Yes,2018-03-09,4.700.000
1714,Turn Up Charlie: Season 1,Yes,2019-03-15,4.700.000
1715,When Heroes Fly: Season 1 // ______ _______ ____: ____ 1,Yes,2019-01-10,4.700.000
1716,42 Days of Darkness: Season 1 // 42 das en la oscuridad: Temporada 1,Yes,2022-05-11,4.600.000
1717,Apostle,Yes,2018-10-12,4.600.000
1718,Ask the StoryBots: Season 2,Yes,2018-08-24,4.600.000
1719,Big Timber: Season 1,Yes,2021-07-02,4.600.000
1720,Booba: Season 2 (Part 1),Yes,,4.600.000
1721,Conversations with a Killer: The Ted Bundy Tapes: Limited Series,Yes,2019-01-24,4.600.000
1722,Drug Lords: Season 2,Yes,2018-07-10,4.600.000
1723,Eurovision Song Contest: The Story of Fire Saga,Yes,2020-06-26,4.600.000
1724,Ever After High: Welcome to Ever After High,Yes,2014-01-31,4.600.000
1725,Hyena: Season 1 // ____: __ 1,Yes,2020-02-21,4.600.000
1726,My Best Friend Anne Frank // Mijn beste vriendin Anne Frank,Yes,2022-02-01,4.600.000
1727,Queer Eye: Season 5,Yes,2020-06-05,4.600.000
1728,Sentinelle,Yes,2021-03-05,4.600.000
1729,Taylor Swift reputation Stadium Tour,Yes,2018-12-31,4.600.000
1730,The Call // _,Yes,2020-11-27,4.600.000
1731,The Dig,Yes,2021-01-29,4.600.000
1732,The Prince of Tennis ~ Match! Tennis Juniors ~: Season 1 // ______: _ 1 _ // _______: _ 1 _,Yes,2019-12-04,4.600.000
1733,Unbreakable Kimmy Schmidt: Season 2,Yes,2016-04-15,4.600.000
1734,3%: Season 2,Yes,2018-04-27,4.500.000
1735,ATHENA,Yes,2022-09-23,4.500.000
1736,Blood of Zeus: Season 1,Yes,2020-10-27,4.500.000
1737,Borgen: Season 3,Yes,,4.500.000
1738,Double World // __,Yes,,4.500.000
1739,Find Yourself: Season 1 // ______: _ 1 _,Yes,,4.500.000
1740,Hilda: Season 2,Yes,2020-12-14,4.500.000
1741,Love 101: Season 2 // A_k 101: 2. Sezon,Yes,2021-09-30,4.500.000
1742,Maniac: Limited Series,Yes,2018-09-21,4.500.000
1743,Secrets of the Saqqara Tomb,Yes,2020-10-28,4.500.000
1744,The Stranded: Season 1 // _____: ______ 1,Yes,2019-11-14,4.500.000
1745,The World's Most Amazing Vacation Rentals: Season 2,Yes,2021-09-14,4.500.000
1746,Unorthodox: Limited Series,Yes,2020-03-26,4.500.000
1747,Women of the Night: Season 1 // Keizersvrouwen: Seizoen 1,Yes,,4.500.000
1748,Your Son // Tu hijo,Yes,2019-03-01,4.500.000
1749,All Hail King Julien: Season 3,Yes,2016-06-17,4.400.000
1750,Bad Sport: Volume 1,Yes,2021-10-06,4.400.000
1751,Bad Trip,Yes,2021-03-26,4.400.000
1752,Biohackers: Season 2,Yes,2021-07-09,4.400.000
1753,Chicago Party Aunt: Part 1,Yes,2021-09-17,4.400.000
1754,Club de Cuervos: Season 1,Yes,2015-08-07,4.400.000
1755,Dear David,Yes,2023-02-09,4.400.000
1756,Good on Paper,Yes,2021-06-23,4.400.000
1757,Hello Ninja: Season 1,Yes,2019-11-01,4.400.000
1758,Isi & Ossi,Yes,2020-02-14,4.400.000
1759,Kim's Convenience: Season 4,Yes,,4.400.000
1760,Love: Season 1,Yes,2016-02-19,4.400.000
1761,Missed Connections,Yes,2023-06-02,4.400.000
1762,Slasher: Guilty Party,Yes,2017-10-17,4.400.000
1763,The House of Flowers: Season 1 // La casa de las flores: Temporada 1,Yes,2018-08-10,4.400.000
1764,The Ripper: Limited Series,Yes,2020-12-16,4.400.000
1765,The Tinder Swindler,Yes,2022-02-02,4.400.000
1766,44 Cats: Season 1 (Part 2),Yes,,4.300.000
1767,Angry Birds: Season 3,Yes,,4.300.000
1768,Animals on the Loose: A You vs. Wild Movie,Yes,2021-02-16,4.300.000
1769,Battlefish: Season 1,Yes,2018-09-21,4.300.000
1770,Collision,Yes,2022-06-16,4.300.000
1771,DonÕt Listen,Yes,2020-11-27,4.300.000
1772,F*ck Love Too // F*ck de Liefde 2,Yes,2022-05-20,4.300.000
1773,Forgotten // ___ _,Yes,2018-02-21,4.300.000
1774,He-Man and the Masters of the Universe: Season 1,Yes,2021-09-16,4.300.000
1775,How to Sell Drugs Online (Fast): Season 2,Yes,2020-07-21,4.300.000
1776,Izzy's Koala World: Season 2,Yes,2021-04-20,4.300.000
1777,Killer Inside: The Mind of Aaron Hernandez: Limited Series,Yes,2020-01-15,4.300.000
1778,Malibu Rescue: The Next Wave,Yes,2020-08-04,4.300.000
1779,Munich Ð The Edge of War,Yes,2022-01-21,4.300.000
1780,Murder Mountain: Limited Series,Yes,2018-12-28,4.300.000
1781,Nappily Ever After,Yes,2018-09-21,4.300.000
1782,Nightbooks,Yes,2021-09-15,4.300.000
1783,Rhythm + Flow: Season 1,Yes,2019-10-09,4.300.000
1784,Stealing Raden Saleh // Mencuri Raden Saleh,Yes,,4.300.000
1785,Supermodel Me: Revolution: Season 1,Yes,,4.300.000
1786,The Gift: Season 2 // Atiye: 2. Sezon,Yes,2020-09-10,4.300.000
1787,The Magic School Bus Rides Again: Season 2,Yes,2018-04-13,4.300.000
1788,The Night Comes for Us,Yes,2018-10-19,4.300.000
1789,The Taming of the Shrewd // Poskromienie z_o_nicy,Yes,2022-04-13,4.300.000
1790,Trailer Park Boys: The Animated Series: Season 1,Yes,2019-03-31,4.300.000
1791,Wendell & Wild,Yes,2022-10-28,4.300.000
1792,7 Prisoners // 7 Prisioneiros,Yes,2021-11-11,4.200.000
1793,Carmen Sandiego: Season 2,Yes,2019-10-01,4.200.000
1794,Castlevania: Season 1,Yes,2017-07-07,4.200.000
1795,Chef's Table: Pizza: Limited Series,Yes,2022-09-07,4.200.000
1796,Chennai Express // ______ _________,Yes,,4.200.000
1797,Designing Miami: Season 1,Yes,2022-09-21,4.200.000
1798,Framed! A Sicilian Murder Mystery: Season 1 // Incastrati: Stagione 1,Yes,2022-01-01,4.200.000
1799,Girls Incarcerated: Season 1,Yes,2018-03-02,4.200.000
1800,Izzy's Koala World: Season 1,Yes,2020-09-15,4.200.000
1801,Kidnapping Stella,Yes,2019-07-12,4.200.000
1802,Kongsuni and Friends: Season 2 // ____ ___: __ 2,Yes,,4.200.000
1803,Miracle in Cell No. 7 // 7. Ko_u_taki Mucize,Yes,,4.200.000
1804,Night in Paradise // ___ _,Yes,2021-04-09,4.200.000
1805,Slasher: The Executioner,Yes,2016-05-17,4.200.000
1806,Spy Kids: Mission Critical: Season 1,Yes,2018-04-20,4.200.000
1807,The Innocence Files: Limited Series,Yes,2020-04-15,4.200.000
1808,The Wandering Earth // ____,Yes,2019-04-30,4.200.000
1809,True Memoirs of an International Assassin,Yes,2016-11-11,4.200.000
1810,Warrior: Season 1 // Kriger: S¾son 1,Yes,2018-11-13,4.200.000
1811,A Trip to Infinity,Yes,2022-09-26,4.100.000
1812,Amateur,Yes,2018-04-06,4.100.000
1813,Archibald's Next Big Thing: Season 2,Yes,2020-03-20,4.100.000
1814,Blippi Wonders: Season 1,Yes,,4.100.000
1815,Fear Street Part 3: 1666,Yes,2021-07-16,4.100.000
1816,Friendzone,Yes,2021-09-29,4.100.000
1817,Greenhouse Academy: Season 3,Yes,2019-10-25,4.100.000
1818,Greenleaf: Season 5,Yes,2020-08-12,4.100.000
1819,I Think You Should Leave with Tim Robinson: Season 1,Yes,2019-04-23,4.100.000
1820,Jamtara - Sabka Number Ayega: Season 2 // ______ - ____ ____ ____: ____ 2,Yes,2022-09-23,4.100.000
1821,Kim's Convenience: Season 5,Yes,,4.100.000
1822,Kipo and the Age of Wonderbeasts: Season 1,Yes,2020-01-14,4.100.000
1823,My Name Is MoÕNique,Yes,2023-04-04,4.100.000
1824,Pretty Smart: Season 1,Yes,2021-10-08,4.100.000
1825,Private Lives: Season 1 // ___: __ 1,Yes,2020-10-07,4.100.000
1826,Robocar Poli: Season 2,Yes,,4.100.000
1827,Sooryavanshi // _________,Yes,,4.100.000
1828,The Dragon Prince: Season 3,Yes,2019-11-22,4.100.000
1829,The English Game: Season 1,Yes,2020-03-20,4.100.000
1830,The Last Bus: Season 1,Yes,2022-04-01,4.100.000
1831,"Ada Twist, Scientist: Season 3",Yes,2022-09-12,4.000.000
1832,Black Island // Schwarze Insel,Yes,2021-08-18,4.000.000
1833,Captive: Season 1,Yes,2016-12-09,4.000.000
1834,Christmas on Mistletoe Farm,Yes,2022-11-23,4.000.000
1835,Finding Ola: Season 1 // _____ __ ___: ____ 1,Yes,2022-02-03,4.000.000
1836,First They Killed My Father,Yes,2017-09-15,4.000.000
1837,Signs: Season 1 // Znaki: Sezon 1,Yes,2020-04-15,4.000.000
1838,Space Sweepers // ___,Yes,2021-02-05,4.000.000
1839,Suburra: Blood on Rome: Season 2 // Suburra: La serie: Stagione 2,Yes,2019-02-22,4.000.000
1840,The Dragon Prince: Season 2,Yes,2019-02-15,4.000.000
1841,The Keepers: Limited Series,Yes,2017-05-19,4.000.000
1842,The Laundromat,Yes,2019-10-18,4.000.000
1843,The Princess Switch: Switched Again,Yes,2020-11-19,4.000.000
1844,The Sons of Sam: A Descent into Darkness: Limited Series,Yes,2021-05-05,4.000.000
1845,The Who Was? Show: Season 1,Yes,2018-05-11,4.000.000
1846,Tiger King,Yes,2020-03-20,4.000.000
1847,True and the Rainbow Kingdom: Mushroom Town,Yes,2019-05-03,4.000.000
1848,World of Winx: Season 1,Yes,2016-11-04,4.000.000
1849,Baby Fever: Season 1 // Skruk: S¾son 1,Yes,2022-06-08,3.900.000
1850,Blood Sisters: Limited Series,Yes,2022-05-05,3.900.000
1851,Crime Scene: The Times Square Killer: Limited Series,Yes,2021-12-29,3.900.000
1852,Dad Wanted // Se busca pap,Yes,2020-09-11,3.900.000
1853,How to Sell Drugs Online (Fast): Season 3,Yes,2021-07-27,3.900.000
1854,Hyperdrive: Season 1,Yes,2019-08-21,3.900.000
1855,Johnny Test: Season 1,Yes,2021-07-16,3.900.000
1856,Klaus,Yes,2019-11-15,3.900.000
1857,Magic for Humans: Season 3,Yes,2020-05-15,3.900.000
1858,Mind Your Manners: Season 1,Yes,2022-11-16,3.900.000
